No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,time 2,time1,delay 1,delay 2,jitter
63,0.737919,198.251.205.77,192.168.1.36,TLSv1.2,110,Application Data,,,,,,,,0.738059,0.737919,0.00014,7.6E-05,6.4E-05
65,0.738059,198.251.205.77,192.168.1.36,TLSv1.2,110,Application Data,,,,,,,,0.738135,0.738059,7.6E-05,0.010366,0.01029
66,0.738135,192.168.1.36,198.251.205.77,TCP,54,50988  >  443 [ACK] Seq=1 Ack=113 Win=512 Len=0,,,,,,,,0.748501,0.738135,0.010366,0.025175,0.014809
67,0.748501,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,0.773676,0.748501,0.025175,0.058716,0.033541
69,0.773676,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=113 Ack=39 Win=512 Len=0,,,,,,,,0.832392,0.773676,0.058716,0.016604,0.042112
82,0.832392,198.251.205.77,192.168.1.36,TLSv1.2,133,Application Data,,,,,,,,0.848996,0.832392,0.016604,0.025011,0.008407
84,0.848996,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,0.874007,0.848996,0.025011,0.666135,0.641124
86,0.874007,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=192 Ack=77 Win=512 Len=0,,,,,,,,1.540142,0.874007,0.666135,0.00038,0.665755
155,1.540142,198.251.205.77,192.168.1.36,TLSv1.2,133,Application Data,,,,,,,,1.540522,1.540142,0.00038,0.024966,0.024586
156,1.540522,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,1.565488,1.540522,0.024966,0.664001,0.639035
159,1.565488,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=271 Ack=115 Win=512 Len=0,,,,,,,,2.229489,1.565488,0.664001,0.000484,0.663517
217,2.229489,198.251.205.77,192.168.1.36,TLSv1.2,123,Application Data,,,,,,,,2.229973,2.229489,0.000484,0.027029,0.026545
218,2.229973,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,2.257002,2.229973,0.027029,0.090504,0.063475
221,2.257002,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=340 Ack=153 Win=512 Len=0,,,,,,,,2.347506,2.257002,0.090504,0.010781,0.079723
228,2.347506,198.251.205.77,192.168.1.36,TLSv1.2,133,Application Data,,,,,,,,2.358287,2.347506,0.010781,0.025937,0.015156
229,2.358287,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,2.384224,2.358287,0.025937,0.051872,0.025935
238,2.384224,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=419 Ack=191 Win=512 Len=0,,,,,,,,2.436096,2.384224,0.051872,0,0.051872
245,2.436096,198.251.205.77,192.168.1.36,TLSv1.2,208,Application Data,,,,,,,,2.436096,2.436096,0,0,0
